Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
elektriske tjoevke	elektrisk lys	elektriskt lyse		Elektriske tjoevke sïejhme sjïdti tjuetie jaepiej mænngan.	Elektrisk lys ble vanlig først hundre år senere.	frase		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
meksedh	være i fred	vara i fred		Sïejhme almetjh jïjnjemes aejkien åadtjoejin staateste meksedh.	Folk flest fikk for det meste være i fred for staten.	verb	meksedh, maksa, meksi, makseme	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
jeenjeblåhkoe-sïebredahke	storsamfunn	storsamhället				sammensatt substantiv av jeenjebh + låhkoe + sïebredahke	jeenjeblåhkoe-sïebredahke, jeenjeblåhkoe-sïebredahkese	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
jiehtedh	ta stilling til	ta ställning till		Ij naan jïjnjh aamhtesh mej bïjre tjuara maam-akt jiehtedh.	Det er ikke så mange saker å ta stilling til.	verb	jiehtedh, jeahta, jeehti, jeahteme	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
aeskiehtidh	forvise	förvisa		Dejtie maahta aeskiehtidh itjmies njoelkedasse-meadtoen gaavhtan.	De kan forvises på grunn av grove normbrudd.	verb	aeskiehtidh, aeskehte, aeskiehti, aeskiehtamme	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
njoelkedasse-meadtoe	normbrudd	brott mot normer		Dejtie maahta aeskiehtidh itjmies njoelkedasse-meadtoen gaavhtan.	De kan forvises på grunn av grove normbrudd.	frase		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
eeremes	legge vekt på	lägga vikt på		Væjkele eeremes geesjhlaakan soptsestidh	De legger stor vekt på veltalenhet.	frase		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
geeshlaakan soptsestidh	veltalenhet	vältalighet		Væjkele eeremes geesjhlaakan soptsestidh	De legger stor vekt på veltalenhet.	frase		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
stoerreniere-staate	embetsmannsstaten	ämbetsmannastat				sammensatt substantiv av stoerre + nïere + staate	stoerrenïere-staate, Stoerrenïere-staatese	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 21	
frïjegærhkoe-sïebredahke	trossamfunn	frikyrkosamhälle		Muvhth unnebe frïjjegærhkoe-sïebredahkine govlesuvvieh.	En del tilhører mindre trossamfunn.	sammensatt substantiv av frïjje + gærhkoe + sïebredahke	frïjjegærhkoe-sïebredahke, frïjjegærhkoe-sïebredahkese	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
pænsta -krirrie	pinsemenighet	pingstvännerna				sammensatt substantiv av pænsta + krirrie	pænstakrirrie, pænsta-krærran	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
muslimske jaahkoe-krirrie	muslimsk trossamfunn	muslimska trosinriktningar				sammensatt substantiv av muslimske jaahkoe-krirrie	muslimske jaahkoe-krirrie, muslimske jaahkoe-krærran	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
staaten- gærhkoe	statskirken	statskyrkan	staaten-gærhka			sammensatt substantiv av staaten + gærhkoe	staaten-gærhkoe, staaten-gærhkose	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
eadtjohke	aktivt	aktivt		Jïjnjh almetjh leah lïhtsegh bielelen naan eadtjohke tsiehkiem utnieh religiovnese.	Mange er medlemmer uten å ha noe aktivt forhold til religion.	adjektiv		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
jïjhtedh	blomstre opp	blomstra upp		Daelie måane religiovnh jijhtieh mah joekehtse religiöse vuekieh pleentieh.	Vi ser en oppblomstring av alternativ religion som blander forskjellige religiöse tradisjoner.	verb	jïjhtedh, jæjhta, jïjhti, jïjhteme	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
sekulariseringe	sekularisering	sekularisering				substantiv	sekulariseringe, sekulariseringasse	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
privaate-aamhtese	privatsak	privatsak				sammensatt substantiv av privaate + aamhtese	privaate-aamhtese, privaate-aamhtesasse	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
sjuegniedimmie-soptsese	skapelsesberetning	skapelseberättelse				sammensatt substantiv av sjugniedimmie + soptsese	sjuegniedimmie-soptsese, sjugniedimmiesoptsesasse	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
baakoste baakose	bokstavelig	bokstavligen		Ij gåaredh sjuegniedimmie-soptsesem baakoste baakose jaehkedh.	Skapelsesberetningen ikke kan tas bokstavelig.	adverb		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
galakse	galakse	galax				substantiv	galakse, galaksese	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
veartenen-elmie	verdensrom	världsrymden				sammensatt substantiv av veartenen + elmie	veartenen-elmie, veartenen-alman	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 22	
vædtsoeh	ubegripelig	obegriplig		Jieliedisnie nuekies vædtsoeh jïh hiefies tragedijh.	Livet hadde nok av ubegripelige og meningsløse tragedier.	adverb		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 23	
juelkietjengkere-sijjie	fotballarena	fotbollsarena				sammensatt substantiv av juelkie + tjengkere + sijjie	juelkietjengkere-sijje, juelkietjengkere-sæjjan	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 23	
stuerebe ulmie	dypere mening	djupare mening		Dej jielede stuerebe ulmiem utnieh.	Deres liv har en dypere mening.	frase		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 24	
voejkenen-veartene	åndeverden	andevärlden				sammensatt substantiv av voejkene + veartene	voejkenen-veartene, voejkenen-veartanasse	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 24	
vaajese	myt	myt				substantiv	vaajese, vaajesasse	Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 24	
diesjies	mindre framtredende	mindre framträdande		Mijjen siebriedahkesne religiovne diesjies sijjiem åtna.	I vårt samfunn har religion mindre framtredenen plass. 	adverb		Elgå ref	Til godkjenning		Samf 10	Arbeid	Side 24	
joekehtse-laakan	ujevnt	ojämnt		Daajroe lij joekehtse-laakan joekedamme.	Kunnskapen var ujevnt fordelt.	adverb		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
plovjeruevtie	plogjern	plogjärn	provge-ruevtie			sammensatt substantiv av plovje + ruevtie	plovje-ruevtie, plovje-ruavtan	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
selkie	beslag	beslag		Selkieh okside.	Beslag til dører.	substantiv	selkie, salkan	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
valvijahtjeles	bereist	berest		Staarine mearoe-almetjh jïh jeatjah valvijahtjeles almetjh.	I byene fantes sjøfolk og andre bereiste folk.	adjektiv av valvijahtjedh		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
ov-jaahkods	duppeditter	opålitlig		Dan jïjnjh bïevnesh, dan jïjnjh ov-jaahkods bïevnesh mestie bïevnesh veedtjedh.	Så mye informasjon, så mange duppeditter å hente informasjon gjennom.	adjektiv		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
tekstebïevnese	tekstmelding	textmeddelande				sammensatt substantiv av tekste + bïevnese	tekstebïevnese, teekste-bïenesasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
jïemmehke	likesinnet	likasinnad		Dah jïemmehkigujmie online-spïelh spealadieh.	De spiller online-spill med likesinnede.	substantiv	jïemmehke, jïemmehkasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
online-spïele	online spel	online spel		Dah jïemmehkigujmie online-spïelh spealadieh.	De spiller online-spill med likesinnede.	sammensatt substantiv av online + spïele	online-spïele, online-spïelese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
online 	online 	online 				substantiv	online, onlinese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
govlehtalleme-teknologije	kommunikasjonsteknologi	kommunikationsteknologi		Gaskese daamhtaj sååjhteldihkie.	Kontakten er ofte overfladisk.	sammensatt substantiv av govlehtalleme + teknologije	govlehtalleme-teknologije, govlehtalleme-teknologijese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 26	
sååjhteldihkie	overfladisk	ytlig		Åevries bielie bïevnese-revolusjovneste.	En skremmende side av informasjonsrevolusjonen.	adjektiv av sååjhtedh		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
åevries	skremmende	skrämmande		Åevries bielie bïevnese-revolusjovneste.	En skremmende side av informasjonsrevolusjonen.	adjektiv av åevriedidh		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
bïevnese-revolusjovne	informasjonsrevolusjon	informationsrevolution				sammensatt substantiv av bïevnese + revolusjovne	bïevnese-revolusjovne, bïevnese-revolusjovnese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
demokratiseringe	demokratisering	demokratisering		Jïjnjebh nuepiem åadtjoeh jiehtedh.	Flere får anledning til å ytre seg.	substantiv	demokratiseringe, demokratiseringasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
nuepiem jiehtedh	få anledning å ytre seg	få anledning att yttra sig				frase		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
online-dïgkiedimmie	online-debatt	online-debatt				sammensatt substantiv av online + digkiedimmie	online-dïgkiedimmie, online- digkiedæmman	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	side 27	
nedte-sijjie	nettforum	nätforum		Muvhten aejkien båajhtode digkiedimmieh mestie ij gie gænnah maam lïerh. 	Til tider usaklige debatter som ingen lærer noe av.	sammensatt substantiv av nedte + sijjie	nedte-sijjie, nedtesæjjan	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
båajhtode	usaklig	osaklig	båajhtede, bååjhtide			adjektiv		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
iermie	sjikane	chikan		Buerebe radtjoes-laakan gaskesadtedh.	Kommunisere mer effektivt.	substantiv	iermie, earman	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
radtjoes-laakan	effektivt	effektivt				adverb		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
elektroniske gaskesadteme	elektronisk kommunikasjon	elektronisk kommunikation				sammensatt substantiv av elektroniske + gaskesadteme	elektroniske gaskesadteme, elektroniske gaskesadtemasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
telegrafe	telegraf	telegraf				substantiv	telegrafe, telegrafese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
telegrafen-sïeve	telegraflinje	telegraflinje				sammensatt substantiv av telegrafen + sïeve	telegrafen-sïeve, telegrafen-sïevese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
elektriske prierhkie	elektrisk signal	elektrisk signal				sammensatt substantiv av elektriske + prierhkie	elektriske prierhkie, elektriske prearhkan	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
gaskese	kontakt	kontakt						Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
gaskesadtedh	kommunisere	kommunicera				verb	gaskesadtedh, gaskesadta, gaskesadti, gaskesadteme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 27	
mearoe-nuelien	undersjøisk	havsbotten		Mearoe-nuelien telegrafen-tååjje.	Undersjøisk telegrafkabel.	adverb		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 28	
dïedtegapth	gjøre overfladisk	göra ytlig		SMS jïh Internedte mijjem dïedtegapts darjoeji.	SMS og Internett gjør oss mer overfladiske.	adverb	fååvrehstehtedh, fååvrehstahta, fååvrehstehti, fååvrehsteme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 28	
rohpesimmie	sensasjon	sensation				substantiv av rohpesidh	rohpesimmie, rohpesæmman	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 28	
medija-sïebredahke	mediesamfunn	mediesamhälle		Gaajhkh siebriedahkh tjuerieh orre lïhtsegh sosialiseredidh mij jeahta maanide eelehtidh.	Alle samfunn må sosialisere sine nye medlemmer altså ha barneoppdragelse.	sammensatt substantiv av medija + sïebredahke	medija-sïebredahke, medija-sïebredahkese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 28	
sosialiseredidh	sosialisere	socialisera		Gaajhkh siebriedahkh tjuerieh orre lïhtsegh sosialiseredidh mij jeahta maanide eelehtidh.	Alle samfunn må sosialisere sine nye medlemmer altså ha barneoppdragelse.	verb	sosialiseredidh, sosialiserede, sosialiseredi, sosialiseredamme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 28	
eelehtidh	ha barneoppdragelse	ha barnuppfostran		Mijjieh libie bïlleme ihke deerehtalledh.	Vi ville ha vært redde for å bli svindlet.	verb	eelehtidh, eelehte, eelehti, eelehtamme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 28	
deerehtalledh	bli svindlet	bli lurad				verb	deerehtalledh, deerehtalla, deerehtalli, deerehtalleme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 28	
byöpmetahke	forgiftet mat	förgiftad mat		Tjuara jaskoedidh, dah mah laakem miedtieh eah pjovvestieh. 	Man må føle seg trygg på at de som bryter mot lover ikke slipper unna.	substantiv av byöpmedidh	byöpmetahke, byöpmetahkese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 29	
pjovvestidh	slippe unna	slippa undan		Jis jeatjebh datnem ååktieh dellie stuerebe nuepiem dotnan ååktesem bååstede vuesehth jïh jïjtjemdh ååkth.	Hvis andre respekterer deg er det større sjanse for at du respekterer dem til gjengjeld og at du har selvrespekt.	verb	pjovvestidh, pjovveste, pjovvesti, pjovvestamme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 29	
bååstede vuesiehtidh	til gjengjeld	visa tillbaka		Ij goh tjïelke almetjh sinsitniem leajhtadieh.	Det er ingen selvfølge at folk stoler på hverandre.	frase		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 29	
ij goh tjïelke	det er ingen selvfølge	det är ingen självklarhet		Nöörjesne jïjnjh sohtedihkhs-voeth jïh juerieh.	I Norge er det mye mistenksomhet og mistillit.	frase		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 29	
juerie	mistillit	misstro		Almetjh tjuerieh maam-akth vedtedh juktie jearsoesvoetem utniehtidh.	Tillitens pris er at folk må yte noe for å opprettholde den.	substantiv	juerie, juaran	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 29	
jaskoedidh	være trygg	vara trygg		Tjuara jaskoedidh, dah mah laakem miedtieh eah pjovvestieh. 	Man må føle seg trygg på at de som bryter mot lover ikke slipper unna.	verb	jaskoedidh, joske, jaskoeji, jaskoedamme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 29	
vedtedh	yte noe	ge något, offra något				verb	vedtedh, vadta, vedti, vadteme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 30	
onnebhlåhkoe-sïebredahke	småskalasamfunn	småskalasamhälle		Jïjnjemes sleaktetjh.	De fleste er man i slekt med.	sammensatt substantiv av unnebe + låhkoe + sïebredahke	onnebhlåhkoe-sïebredahke, onneblåhkoe-sïebredahkese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 31	
sleaktetjh	være i slekt med	vara släkt med	slïektetjh	Dïhte gaskese.	Det er et mellomting.	frase		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 31	
gaskese	mellomting	mellanting		Viedtehkh lin stuerebe öörnegasse aktanamme.	Bøndene var trukket inn i et større system.	substantiv av gaske	gaskese, gaskesasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	side 31	
aktanidh	være trukken inn i	vara indragna i	aktanadtedh			verb	aktanidh, aktene, aktani, aktanamme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 31	
veasoje	undersåtten	undersåte				substantiv	veasoje, veasoejasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 31	
jeenjeblåhkoe-sïebredahke	storskalasamfunn	storskalasamhälle				sammensatt substantiv av jeenjebh + låhkoe + sïebredahke	jeenjeblåhkoe-sïebredahke, jeenjeblåhkoe-sïebredahkese	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 31	
fuakedh	få noe tilfredsstilt	få något tillfredsställt	fuakajidh	Dah vihkielommes daerpiesvoetide fuakah.	De får tilfredsstilt sine grunnleggende behov.	verb	fuakedh, fuaka, fuaki, fuakeme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 31	
påaste-guedtije	postbud	postbud	påaste-dijrije			sammensatt substantiv av påaste + guedtije	påaste-guedtije, påaste-guedtijasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 32	
tjïrrehtidh	håndheve	verkställa	nænnoestidh	Dah njoelkedasside tjïrrehtieh.	De håndhever reglene.	verb	tjïrrehtidh, tjïrrehte, tjïrrehti, tjïrrehtamme	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 32	
ektievoete-domtese	fellesskapsfølelse	gemenskapskänsla				sammensatt substantiv av ektievoete + domtese	ektievoete-domtese, ektievoete-domtesasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 32	
tele-noerije	telemontør	telemontör				sammensatt substantiv av tele + noerije	tele-noerije, tele-noerijasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 32	
programme-åejvie	programleder	programledare				sammensatt substantiv av programme + åejvie	programme-åejvie, programme-åajvan	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 32	
tsumhtsie-veedtjije	søppeltømmer	sophämtare		Dïhte sosiale jaahkoe jïh identitete-domtese stïerhke.	Den sosiale tilliten og identitetsfølelsen er sterk.	sammensatt substantiv av tsumhtsie + veedtjije av veedtjedh	tsumhtsie-veedtjije, tsumhtsie-veedtjijasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 32	
sosiale jaahkoe	sosial tillit	social tillit		Dïhte sosiale jaahkoe jïh identitete-domtese stïerhke.	Den sosiale tilliten og identitetsfølelsen er sterk.	frase		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 33	
identitete-domtese	identitetsfølelse	identitetskänsla		Fuelhkie akte ektievoete hokse-våaromistie.	Familie er et omsorgsbasert fellesskap.	sammensatt substantiv av identitete + domtese	identitete-domtese, identitete-domtesasse	Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 33	
ektievoete hokse-våaromistie	omsorgsbasert fellesskap	omsorgsbaserad gemenskap				frase		Elgå ref	Til godkjenning		Samf 10	Kommunikasjon	Side 33	
bensijne-åasa	bensinpris	bensinpris				sammensatt substantiv av bensijne + åasa	bensijne-åasa, bensijne-åesese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 38	
busse-leahpa	bussbillett	bussbiljett				sammensatt substantiv av busse + leahpa	busse-leahpa, busse-leahpese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 38	
ruevtieraajroej vuelkeme-tïjje	togavganger	tågavgång		Låhkoe ruevtieraajroeh tïjjh gaptjerostine.	Antall togavganger i rushtiden.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 38	
gaptjerosteme	rushtid	rusningstid		Låhkoe ruevtieraajrojh tïjjh gaptjerostine.	Antall togavganger i rushtiden.	substantiv av gaptjerostedh	gaptjerosteme, gaptjerostemasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 38	
gyhtjeles-goerehtimmie	meningsmåling	enkätundersökning				sammensatt substantiv av gyhtjeles-goerehtimmie	gyhtjeles-goerehtimmie, gyhtjeles-goerehtæmman	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 38	
miedtedh	utnytte	utnyttja		Vaarjoe-industrije ij edtjh maanide miedtedh.	Barn skal ikke utnyttes i klesindustrien.	verb	miedtedh, meadta, mïeti, miedteme	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 38	
vaarjoe-industrije	klesindustri	beklädnadsindustri		Vaarjoe-industrije ij edtjh maanide miedtedh.	Barn skal ikke utnyttes i klesindustrien.	sammensatt substantiv av vaarjoe + industrije	vaarjoe-industrije, vaarjoe-industrijese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 38	
vååvne jïjnjh	særlig	speciellt		Idtjimh beetnegh naan vååvne jïjnjh nuhtjh.	Vi brukte ikke penger i særlig grad.	adjektiv		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 39	
aejlegi aeredsbeapmoeh	søndagsfrokost	söndagsfrukost		Gaajhkesh åadtjoejin munnieh, baconh jïh laejpieh aejlegi aeredsbeapmose.	Alle fikk egg og bacon og brød til søndagsfrokosten.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 39	
bacone	bacon	bacon		Gaajhkesh åadtjoejin munnieh jïh baconh jïh laejpieh aejlegi aeredsbeapmose.	Alle fikk egg og bacon og brød til søndagsfrokosten.	substantiv	bacone, baconasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 39	
vaaroe vierhtine	vare med verdi	vara med värde		Fïere guhte vaaroem vierhtine jeatjabidie utnieji.	Hver og en hadde en vare med verdi for de andre.	frase		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 39	
maaksoe-vierhtie	betalingsmiddel	betalningsmedel				sammensatt substantiv av maaksoe + vierhtie	maaksoe-vierhtie, maaksoevearhtan	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 39	
konto	konto	konto				substantiv	konto, kontose	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 40	
lohkeme-laajkoe	studielån	studielån				sammensatt substantiv av lohkeme + laajkoe	lohkeme-laajkoe, lohkeme-laajkose	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 40	
klahke-sijjie	skranke	skrank				sammensatt substantiv av klahke + sijjie	klahke-sijjie, klahke- sæjjan	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 40	
vetsmie-produsente	frøprodusent	fröproducent				sammensatt substantiv av vetsmie + produsente	vetsmie-produsente, vetsmie-produsentese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
seejeme-masjine	såmaskin	såmaskin				sammensatt substantiv av seejeme av seejedh + masjine	seejeme-masjine, seejeme-masjinese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
ribleme-masjine	skurtresker	skördetröska				sammensatt substantiv av ribleme av ribledh + masjine	ribleme-masjine, ribleme-masjinese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
deallahtæjja	leverandør	leverantör				substantiv av deallahtidh	deallahtæjja, deallahtæjjese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
giesiehtimmie-sijjie	transportfirma	transportfirma				sammensatt substantiv av giesiehtimmie + sijjie	giesiehtimmie-sijjie, giesiehtimmiesæjjan	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
deaptjome-masjine	eltemaskin	ältmaskin				sammensatt substantiv av deaptjome av deaptjodh + masjine	deaptjome-masjine, deaptjome-masjinese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
vaejvies	komplisert	komplicerat		Sïebredahke sagke vaejviekåbpoeh. 	Samfunnet er mye mer komplisert.	adjektiv		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
baersele-goevtese	fødeavdeling	barnbördsavdelning				sammensatt substantiv av baersele av baersieldidh + goevtese	baersele-goevtese, baersele-goevtesasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
gaajeh-laakan	maksimalt	maximalt		Dah vierhtide gaajeh-laakan nuhtin.	De utnyttet ressursene maksimalt.	adverb		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
vuebnie	stekeovn	stekugn				sammensatt substantiv av bisseme av bissedh + vuebnie	vuebnie, vuabnan	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 41	
tjaavtesegaevnie	realkapital	realkapital		Tjaavtesegaevnieh leah vierhtieh mejtie almetjh dorjeme.	Realkapital er ressurser skapt av menneskene.	sammensatt substantiv av tjahtese  av tjavtehke + gaevnie	tjavhtes-gaevnie, tjavhtes-gaavnan	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 43	
tjaste-fabrihke	iskremfabrikk	glassfabrik				sammensatt substantiv av tjaste + fabrihke	tjaste-fabrihke, tjaste-fabrihkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 43	
gilmetahke	fryser, fryseboks, fryseskap	frysrum, frysbox, frysskåp				substantiv	gilmetahke, gilmetahkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 43 	
tjaste-maskijne	ismaskin	glassmaskin				sammensatt substantiv av tjaste + maskijne	tjaste-maskijne, tjaste-maskijnese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 43	
faaleme	tilbud	tillgång				substantiv av faaledh	faaleme, faalemasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 45	
tjoemehtimmie	etterspørsel	efterfrågan				substantiv av tjoemehtidh	tjoemehtimmie, tjoemehtæmman	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 45	
njåadtsan	lettkledd	lättklädd		Njåadtsan jåempieh.	Lettkledde damer.	adjektiv		Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 46	
tjeejehts-plaerie	pornoblad	porrtidning				sammensatt substantiv av tjeejehts av tjeejehtidh + plaerie	tjeejehts-plaerie, tjeejehts-plaaran	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 46	
maana-tjeejehtimmie	barneporno	barnpornografi				sammensatt substantiv av maana + tjeejehtimmie av tjeejehtidh	maana-tjeejehtimmie, maana-tjeejehtæmman	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 46	
åasa-joekehtse	prishopp	prisskillnad				sammensatt substantiv av åasa + joekehtse	åasa-joekehtse, åasa-joekehtsasse	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 46	
låepteme-faaleldahke	konsumgode	konsumtionsförmån				sammensatt substantiv av låepteme av låeptedh + faaleldahke	låepteme-faaleldahke, låepteme-faaleldahkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 46	
ektie-faaleldahke	fellesgode	gemensam förmån				sammensatt substantiv av ektie + faaleldahke	ektie-faaleldahke, ektie-faaleldahkese	Elgå ref.gruppe	Til godkjenning		Samf 10	Økonomi er mer en penger	Side 46	
